run_id,ncbi_taxon_id,taxon_rank_level,relative_abundance,name,lineage,CDF,,,,,,,
ERR1913124,820,species,0.1383,Bacteroides uniformis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides uniformis__820,0.968652568794825,
ERR1913124,1236512,strain,0.019582,Bacteroides rodentium JCM 16496,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides rodentium__691816,st__Bacteroides rodentium JCM 16496__1236512,0.975563237088167
ERR1913124,2516960,species,0.011294,Bacteroides muris,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides muris__2516960,0.982202114680683,
ERR1913124,2184759,species,0.076554,Bacteroides sp. NMBE5,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. NMBE5__2184759,0.90800011273996,
ERR1913124,665954,strain,0.054177,Bacteroides ovatus 3_8_47FAA,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides ovatus__28116,st__Bacteroides ovatus 3_8_47FAA__665954,0.989953452229871
ERR1913124,816,genus,0.007417,Bacteroides,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,0.049619983450712,,
ERR1913124,483215,strain,0.001748,Bacteroides finegoldii DSM 17565,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides finegoldii__338188,st__Bacteroides finegoldii DSM 17565__483215,0.720092856174572
ERR1913124,537012,strain,0.010416,Bacteroides cellulosilyticus DSM 14838,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides cellulosilyticus__246787,st__Bacteroides cellulosilyticus DSM 14838__537012,0.894526230174805
ERR1913124,471870,strain,0.002048,Bacteroides intestinalis DSM 17393,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides intestinalis__329854,st__Bacteroides intestinalis DSM 17393__471870,0.812331119244454
ERR1913124,1470345,species,0.0025629999999999,Bacteroides timonensis,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides timonensis__1470345,0.900693597216509,
